Season,NBA Champions,Conference
1947,Philadelphia Warriors,
1948,Baltimore Bullets,
1949,Minneapolis Lakers,
1950,Minneapolis Lakers,
1951,Rochester Royals,
1952,Minneapolis Lakers,
1953,Minneapolis Lakers,
1954,Minneapolis Lakers,
1955,Syracuse Nationals,
1956,Philadelphia Warriors,
1957,Boston Celtics,
1958,St. Louis Hawks,
1959,Boston Celtics,
1960,Boston Celtics,
1961,Boston Celtics,
1962,Boston Celtics,
1963,Boston Celtics,
1964,Boston Celtics,
1965,Boston Celtics,
1966,Boston Celtics,
1967,Philadelphia 76ers,
1968,Boston Celtics,
1969,Boston Celtics,
1970,New York Knicks,Eastern Conference NBA
1971,Milwaukee Bucks,Western Conference NBA
1972,Los Angeles Lakers,Western Conference NBA
1973,New York Knicks,Eastern Conference NBA
1974,Boston Celtics,Eastern Conference NBA
1975,Golden State Warriors,Western Conference NBA
1976,Boston Celtics,Eastern Conference NBA
1977,Portland Trail Blazers,Western Conference NBA
1978,Washington Bullets,Eastern Conference NBA
1979,Seattle SuperSonics,Western Conference NBA
1980,Los Angeles Lakers,Western Conference NBA
1981,Boston Celtics,Eastern Conference NBA
1982,Los Angeles Lakers,Western Conference NBA
1983,Philadelphia 76ers,Eastern Conference NBA
1984,Boston Celtics,Eastern Conference NBA
1985,Los Angeles Lakers,Western Conference NBA
1986,Boston Celtics,Eastern Conference NBA
1987,Los Angeles Lakers,Western Conference NBA
1988,Los Angeles Lakers,Western Conference NBA
1989,Detroit Pistons,Eastern Conference NBA
1990,Detroit Pistons,Eastern Conference NBA
1991,Chicago Bulls,Eastern Conference NBA
1992,Chicago Bulls,Eastern Conference NBA
1993,Chicago Bulls,Eastern Conference NBA
1994,Houston Rockets,Western Conference NBA
1995,Houston Rockets,Western Conference NBA
1996,Chicago Bulls,Eastern Conference NBA
1997,Chicago Bulls,Eastern Conference NBA
1998,Chicago Bulls,Eastern Conference NBA
1999,San Antonio Spurs,Western Conference NBA
2000,Los Angeles Lakers,Western Conference NBA
2001,Los Angeles Lakers,Western Conference NBA
2002,Los Angeles Lakers,Western Conference NBA
2003,San Antonio Spurs,Western Conference NBA
2004,Detroit Pistons,Eastern Conference NBA
2005,San Antonio Spurs,Western Conference NBA
2006,Miami Heat,Eastern Conference NBA
2007,San Antonio Spurs,Western Conference NBA
2008,Boston Celtics,Eastern Conference NBA
2009,Los Angeles Lakers,Western Conference NBA
2010,Los Angeles Lakers,Western Conference NBA
2011,Dallas Mavericks,Western Conference NBA
2012,Miami Heat,Eastern Conference NBA
2013,Miami Heat,Eastern Conference NBA
2014,San Antonio Spurs,Western Conference NBA
2015,Golden State Warriors,Western Conference NBA
2016,Cleveland Cavaliers,Eastern Conference NBA
2017,Golden State Warriors,Western Conference NBA
2018,Golden State Warriors,Western Conference NBA
2019,Toronto Raptors,Eastern Conference NBA
2020,Los Angeles Lakers,Western Conference NBA
2021,Milwaukee Bucks,Eastern Conference NBA
2022,Golden State Warriors,Western Conference NBA
2023,Denver Nuggets,Western Conference NBA
2024,Boston Celtics,Eastern Conference NBA
2025,Oklahoma City Thunder,Western Conference NBA
